Price,Open,High,Low,Close,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2010-01-25,6.086272833957545,6.152090996706975,6.0165471366169285,6.103103160858154,1065699600
2010-02-19,6.06673930868488,6.107011641886803,6.044198149915035,6.061028480529785,415469600
2011-04-13,10.068753216022602,10.10241387121794,9.993617638659195,10.102113723754883,346220000
2012-05-29,17.157931147586538,17.251098827773948,16.98992885483224,17.19910430908203,380508800
2013-01-03,16.61230944838262,16.66658419775252,16.403700545808473,16.437053680419922,352965200
2013-09-10,15.642778554352219,15.681406985803589,15.126709575678237,15.285547256469727,743195600
2013-10-09,14.976521558327816,15.073863347120419,14.77998297123797,15.036781311035156,301725200
2013-12-02,17.344196072035917,17.540949229903646,17.121022354454514,17.133766174316406,472544800
2013-12-27,17.525096166658464,17.543434184656373,17.3908187813185,17.409156799316406,225884400
2014-02-03,15.622516513644392,15.781660671813581,15.519633060687156,15.588946342468262,401464000
2014-03-04,16.60375834285601,16.655038754588503,16.502758910069996,16.61126136779785,259140000
2014-07-03,20.617181035064505,20.711826004747884,20.513731686891568,20.69641876220703,91567200
2014-07-29,21.86297366183182,21.887185283724186,21.625260471941424,21.653873443603516,172572000
2014-09-18,22.54684453676332,22.63974783699469,22.465000188873756,22.51587677001953,149197600
2014-09-29,21.821305896029845,22.21725274780611,21.81688096605675,22.144256591796875,199065200
2014-12-02,25.21498594189347,25.714842491402372,25.04836709205717,25.46602439880371,237395600
2015-04-07,28.46820865207758,28.57526457960053,28.097971158761045,28.10466194152832,140049200
2015-06-01,29.17839553147613,29.426998825554183,29.12688412242206,29.23662567138672,128451200
2015-08-12,25.317066322254924,25.967260110690887,24.664622247237084,25.9267635345459,404870000
2015-12-14,25.346362628378287,25.459334470771875,24.80635735964201,25.414146423339844,257274800
2016-07-25,22.45531168103925,22.590156990535494,22.15133605098647,22.24732780456543,161531600
2016-09-19,26.469610964153617,26.6971034353223,26.023816113861358,26.099647521972656,188092000
2017-10-16,36.92400969099048,37.41508409703628,36.865548622088866,37.38702392578125,96486000
2017-10-20,36.622353946926445,36.8889362915039,36.47035658757761,36.538169860839844,95896400
2018-05-10,44.23938742883291,44.85912284220606,44.218176936758304,44.7813606262207,111957200
2018-12-04,43.103793509629774,43.44681406190694,41.98898034949938,42.089027404785156,165377200
2019-02-12,40.69301374012498,40.90831922326165,40.59731957511824,40.88200378417969,89134000
2019-05-15,44.73296126111396,46.048988699608614,44.672923466199215,45.84966278076172,106178800
2019-08-15,49.04680900852128,49.451794151476854,48.133175768034526,48.632179260253906,108909600
2019-11-05,61.965402409963275,62.24021847609193,61.78943067043556,61.98469161987305,79897600
2020-09-22,109.730230798935,109.90551900427155,106.3023816419501,108.88300323486328,183055400
2021-05-17,124.108441409408,124.21609007947319,122.49371882469936,123.57019805908203,74244600
2022-01-25,156.04133790955973,159.7514654895658,154.1175758189767,156.82655334472656,115798400
2022-09-20,151.1875492113153,155.800058716333,150.87217230085707,154.63706970214844,107689800
2023-03-21,155.5453489444009,157.60187209543255,154.77413390443738,157.4832305908203,73938300
2023-10-05,172.29956799243436,173.94533544106068,171.19908676207933,173.40997314453125,48527900
2024-01-31,185.6802399646441,185.7398164976455,183.00980859435379,183.05943298339844,55467800
2024-12-26,257.56867823862046,259.47408555117545,257.0100282923795,258.39666748046875,27237100
2025-06-18,195.94000244140625,197.57000732421875,195.07000732421875,196.5800018310547,45394700
